data,value
6997695, 2.2777777777777777
10267115, 4.578947368421052
10506700, 6.0
13778163, 33.0
5723438, 3.8333333333333335
11882648, 3.2
2454967, 5.119047619047619
5665350, 10.333333333333334
1767567, 117.4751552795031
9348881, 1.75
12993236, 5.126126126126126
1825652, 36.5
12948793, 5.0
5622981, 2.0
6666772, 13.0
11813079, 1481.0
13279180, 3.5625
13743989, 93.33727810650888
10096336, 6.5
9767177, 3.25
11153209, 217.0
12676850, 8.85
6697823, 4.869565217391305
7915588, 1.5
6394275, 21.5
8218712, 26.6875
980179, 1.0
12601278, 246.5
7430540, 4.777777777777778
7525483, 9.380952380952381
11057638, 11.333333333333334
4441939, 5.5
5828185, 4.55
6727901, 1557.0
1682671, 7.565217391304348
12429831, 16.0
8798939, 13.205128205128204
6340412, 48.29545454545455
6639394, 7.615384615384615
11382454, 6.0
3529339, 4.630769230769231
3162395, 5.345454545454546
5527329, 18.571428571428573
9449314, 13.911538461538461
13492028, 37.75
5968382, 44.92857142857143
8925567, 12.333333333333334
13448229, 10.916666666666666
8052843, 8.0
5521904, 5.2
870794, 13.285714285714286
576121, 4.775
8257317, 4.0
8522078, 28.85185185185185
11543315, 35.0
1468349, 33.8
5463929, 1.375
6178305, 12.5
7564804, 35.214285714285715
3874239, 3.7142857142857144
13637116, 43.38405797101449
3677617, 255.0
12852897, 24.333333333333332
1453893, 4.71875
10400321, 12.5
12936456, 9.941176470588236
9147083, 840.0
1350570, 3.6666666666666665
2379195, 6.666666666666667
9724307, 19.0
8252897, 1.6470588235294117
1223687, 3.25
680793, 2.3333333333333335
1652592, 22.571428571428573
2815493, 6.0
4635032, 3.5
9379471, 16.611570247933884
1066860, 3.7916666666666665
1666790, 5.5
9661278, 5.333333333333333
8256760, 12.0
10278695, 16.647058823529413
10401287, 5.037593984962406
7586547, 17.571428571428573
13362022, 10.785714285714286
9548737, 78.3913043478261
10187710, 22.0
11400171, 19.0
309491, 9.75
5002698, 4.333333333333333
6315005, 3.764705882352941
2452183, 6.066666666666666
1972055, 8.066666666666666
1891917, 11.071428571428571
6304220, 510.0
12150218, 13.76923076923077
7707976, 10.75
11366455, 58.0
1122394, 12.241830065359476
6704002, 10.0
2265890, 31.0
4124781, 36.0
5703089, 13.0
5903590, 47.0
632856, 5.0
8530659, 6.7
10629241, 11.8
363739, 23.375
12926797, 10.0
9520611, 34.5
12037195, 2.0
1106726, 3.2927308447937134
4847656, 10.166666666666666
9665733, 1.1666666666666667
135664, 1.5
7309905, 1.6
584062, 25.03125
6594772, 1.0
11495632, 5.0
6947256, 3.0
9841936, 4.666666666666667
12801751, 4.666666666666667
5384541, 1.6666666666666667
5076301, 13.5
7088828, 1.0
5211200, 14.4
12260486, 219.5
9715487, 33.833333333333336
13506800, 4.133333333333334
6345992, 14.444444444444445
1754785, 24.041666666666668
6647780, 15.5
11969947, 18.18252239167272
12033001, 1.0606060606060606
9108958, 3.1818181818181817
7000005, 22.6
4161275, 4.666666666666667
2114436, 16.1
4756360, 26.181818181818183
6828550, 7.0
5561999, 45.333333333333336
5000149, 1.8
5732289, 15.5
1919081, 4.8
6218512, 14.0
11089383, 30.5
7110469, 1.5
9039102, 22.5
12987755, 39.2
2090079, 912.1666666666666
11057230, 1.6
13157021, 2.0
832785, 3.8125
3080004, 22.925
4881230, 6.822222222222222
7396495, 13.5
313157, 83.0
10612947, 5.25
11890421, 7.5
12023783, 88.21428571428571
12106024, 1.7123287671232876
6282397, 7.782786885245901
964535, 8.0
1310811, 2.918918918918919
5388576, 156.0
11607696, 1.8666666666666667
5084110, 2588.0
7272565, 5.333333333333333
11165374, 13.725352112676056
2708843, 15.333333333333334
5958952, 100.44444444444444
8151776, 2.7
7527939, 9.131578947368421
11597318, 71.71428571428571
1161018, 3.121212121212121
3468375, 7.5
2861454, 28.0
7624497, 278.0
10509121, 2096.0
11792698, 2.3333333333333335
11582991, 23.0
4404114, 4.151515151515151
7959684, 7.666666666666667
1351002, 5.875
3699233, 11.75
7267891, 2.272727272727273
7417388, 3.1818181818181817
6257984, 3.7844827586206895
12972005, 2.6666666666666665
11955933, 25.190184049079754
12217312, 4.0
1876624, 1.6666666666666667
2864286, 20.88888888888889
5745176, 3.0
3171933, 6.208564631245044
13734600, 13.0
13408375, 6.25
